date,week,year,month,day,volume,close,vwap,trade_count
2021-09-08,36,2021,September,Wednesday,19160240,753.87,752.653939,449475
2021-09-09,36,2021,September,Thursday,14472239,754.86,756.738257,331982
2021-09-10,36,2021,September,Friday,15480205,736.27,749.611875,378382
2021-09-13,37,2021,September,Monday,23526061,743.0,728.878588,506104
2021-09-14,37,2021,September,Tuesday,18929417,744.49,745.676187,391531
2021-09-15,37,2021,September,Wednesday,16058396,755.83,749.144484,351298
2021-09-16,37,2021,September,Thursday,14603360,756.99,753.399579,289973
2021-09-17,37,2021,September,Friday,35938669,759.49,757.853024,382206
2021-09-20,38,2021,September,Monday,25471332,730.17,729.83998,553757
2021-09-21,38,2021,September,Tuesday,17152159,739.38,739.387473,314321
2021-09-22,38,2021,September,Wednesday,15753275,751.94,748.028961,318997
2021-09-23,38,2021,September,Thursday,12283745,753.64,753.406486,286249
2021-09-24,38,2021,September,Friday,21818322,774.39,763.342692,470014
2021-09-27,39,2021,September,Monday,28842443,791.36,786.981249,606222
2021-09-28,39,2021,September,Tuesday,26182426,777.56,780.649402,536347
2021-09-29,39,2021,September,Wednesday,21363938,781.31,782.357955,417686
2021-09-30,39,2021,September,Thursday,18710564,775.48,781.870447,363904
2021-10-01,39,2021,October,Friday,17689952,775.22,772.271389,363028
2021-10-04,40,2021,October,Monday,31386257,781.53,790.34321,640563
2021-10-05,40,2021,October,Tuesday,18860630,780.59,785.157959,401580
2021-10-06,40,2021,October,Wednesday,15009105,782.75,780.803488,333068
2021-10-07,40,2021,October,Thursday,20052029,793.61,792.162641,412495
2021-10-08,40,2021,October,Friday,17016248,785.49,787.146546,400903
2021-10-11,41,2021,October,Monday,14464306,791.94,794.804711,346232
2021-10-12,41,2021,October,Tuesday,22918978,805.72,806.711059,499674
2021-10-13,41,2021,October,Wednesday,14470404,811.08,809.715096,347504
